,genre,cluster_num,words
0,전체,0,"['비서', '외모', '남자']"
1,전체,1,"['시간', '인간', '전쟁']"
2,전체,2,"['제국', '디자인', '가문']"
3,전체,3,"['여주', '버리', '원작']"
4,전체,4,"['용사', '세계', '구하']"
5,전체,5,"['작가', '엔딩', '작품']"
6,전체,6,"['신혼', '능력', '각성']"
7,전체,7,"['오빠', '폭군', '아리']"
8,전체,8,"['복수', '전생', '자신']"
9,전체,9,"['공주', '외모', '결혼']"
10,전체,10,"['그녀', '자신', '동생']"
11,전체,11,"['게임', '일진', '스킬']"
12,전체,12,"['연애', '세우', '남자']"
13,전체,13,"['소년', '소녀', '들어오']"
14,전체,14,"['정령', '전기', '게임']"
15,전체,15,"['최강', '세계', '시작']"
16,전체,16,"['학교', '주먹', '도시']"
17,전체,17,"['자신', '인생', '지원']"
18,전체,18,"['여주', '악역', '소설']"
19,전체,19,"['무림', '세계', '주인공']"
20,전체,20,"['미래', '소녀', '저주']"
21,전체,21,"['사교계', '복잡', '귀찮']"
22,전체,22,"['결혼', '라이프', '그녀']"
23,전체,23,"['세계', '원래', '돌아가']"
24,전체,24,"['남편', '결혼', '공작']"
25,전체,25,"['엄마', '아빠', '회귀']"
26,전체,26,"['강호', '무림', '무공']"
27,전체,27,"['복수', '버림받', '가문']"
28,전체,28,"['귀신', '공룡', '동거']"
29,전체,29,"['남자', '주인공', '착하']"
30,전체,30,"['황제', '제국', '그녀']"
31,전체,31,"['마법사', '당신', '이름']"
32,전체,32,"['악마', '인간계', '천사']"
33,전체,33,"['생존자', '사고', '고향']"
34,전체,34,"['세상', '플레이어', '인류']"
35,전체,35,"['진정', '액션', '수호']"
36,전체,36,"['사원', '기업', '대기업']"
37,전체,37,"['마왕', '드라마', '세계']"
38,전체,38,"['황제', '그녀', '모든']"
39,전체,39,"['지구', '지옥', '어느']"
40,전체,40,"['소설', '원작', '이상']"
41,전체,41,"['사내', '천하', '준우']"
42,전체,42,"['마녀', '황제', '시스']"
43,전체,43,"['악마', '수상작', '최대']"
44,전체,44,"['일상', '고백', '평범']"
45,전체,45,"['연우', '연애', '우주']"
46,전체,46,"['어른', '청춘', '첫사랑']"
47,전체,47,"['남자', '그녀', '마주치']"
48,전체,48,"['초월자', '버스', '하선']"
49,전체,49,"['게임', '클리어', '공략']"
0,감성,0,"['여리', '오해', '연우']"
0,액션,0,"['가지', '떼돈', '힘없']"
1,액션,1,"['인류', '일진', '전쟁']"
2,액션,2,"['고등학생', '학교', '액션']"
