,Unnamed: 0,id,thumbnail,title,author,day,first_genre,second_genre,story,platform
0,0.0,0,//dn-img-page.kakao.com/download/resource?kid=eVtdO/hzmU2tEBKW/VuaxFpaYkAsyGg2tUoNJKk&filename=th1,이번 생은 가주가 되겠습니다,"앤트스튜디오,몬, 앤트스튜디오,김로아",월,로판,,"“…한번 해 보자. 내가 가주가 되는 거야.”

제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아.
게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한
말그대로 제국의 역사 자체!

금수저 오브 금수저 인생 당첨!
앞으로는 탄탄대로일 거라 생각했는데….
아버지는 돌아가시고, 친척들은 문전박대,
거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야!!

분통을 터트리며 술을 조금(?) 많이 마시며 돌아가는 길,
마차에 치여버리기까지!

“이건 해도 해도 너무하잖아….”

하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다?!
사랑하는 아버지를 다시 보는 것도 믿기지 않는데,
내가 아버지와 가문을 살릴 수도 있다고?

거기다 회귀 전 가문의 원수,
2황자가 대형견마냥 졸졸 쫓아다니기까지?!

좋아, 이렇게 된 거 2황자도 가문도 다 내 거다!

환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트!

**************************

[표지 및 타이틀 로고 디자인] 조정원

**************************

웹툰 [이번 생은 가주가 되겠습니다]는 매주 월요일, 주1회 연재됩니다.",카카오웹툰
1,1.0,1,//dn-img-page.kakao.com/download/resource?kid=T7d2h/hzCtg4Md5j/a1qkeU1lK9SnpDdWK6fyV0&filename=th1,만 년 만에 귀환한 플레이어,"맹주경(COPIN),4PLAYER(COPIN),나비계곡",월,소년,,"어느 날, 갑작스럽게 지옥으로 떨어졌다. 
가진 것은 살고 싶다는 갈망과 포식의 권능 뿐.
 
일천의 지옥부터 구천의 지옥까지. 수만, 수십만의 악마를 잡아먹었고. 
마침내 일곱 대공까지 그 앞에 무릎을 꿇었다.
 
""어째서 돌아가려고 하십니까? 
왕께서는 이미 지옥의 모든 것을 가지고 계시지 않습니까.""

""가지긴 뭘 다 가져.""

먹을 것도, 즐길 것도 없다! 
지옥에 있는 거라고는 황량한 대지와 끔찍한 악마 뿐! 

""난 돌아갈 거야."" 

만 년이라는 아득한 시간 만에 그가 지구로 귀환한다.


그러나.. 지구는 자신이 그동안 알던 지구가 아니었다.",카카오웹툰
2,2.0,2,//dn-img-page.kakao.com/download/resource?kid=956YF/hzp2fQXHnJ/YHOYIOvUWnfgG5Mnnrocz1&filename=th1,세이렌: 악당과 계약가족이 되었다,"생얌,포야,설이수",월,로판,,"아리아는 계약 결혼을 제안했다.
그것도, 악마에게 영혼을 팔았다는 발렌타인의 대공자에게.
자신을 지키고, 그를 지키기 위해서.

[나와 결혼해.]

아리아는 단풍잎 같은 손으로, 쪽지와 함께 혼인 서약서를 내밀었다.

[계약 결혼이니까 10년 뒤에 이혼…….]

그러자 어린 대공자는 쓰고 있던 쪽지를 빼앗아 쫙쫙 찢으며 말했다.

“그래서, 도장은 어디에 찍으면 되지?”

“크면 이혼해주겠다고 했잖아.”

어느새 훌쩍 자란 악마 대공이, 그녀의 머리카락 위에 경건하게 입을 맞추며 말했다.

“어른이 되었으니 어른의 계약을 해야지.”",카카오웹툰
3,3.0,3,//dn-img-page.kakao.com/download/resource?kid=fl0ET/hzhOmwE9xm/2cj6JeKFWRZL4veOtLQ3yK&filename=th1,녹음의 관,"삵,김은혜,비누,시야",월,로판,,"남자주인공에게 트라우마를 남긴 계모의 딸에 빙의했다.
이 모든 것은 내가 열 다섯 살 때 쓴 소설 속 안.
괜찮아, 어떻게든 널 행복하게 만들어줄게.
내가 이 소설의 원작자라고!

""저는 단 한번도 누님을 가족이라 생각한 적이 없습니다.""

남주 행복 프로젝트, 열심히 실천하고 있다고 생각했는데.
왜 나를 가족으로 인정해주지 않는거니?
남주가 공작이 되기 전까지 나, 무사히 살아남을 수 있을까?",카카오웹툰
4,4.0,4,//dn-img-page.kakao.com/download/resource?kid=cF2Trm/hzCs8ZQlp3/9EqP2I1QMiqCdilzoDjgj0&filename=th1,레벨업 못하는 플레이어,"앵무새,박정재,스튜디오 크힛,가빈지",월,소년,,"18세의 나이에 '플레이어'로 각성한 김기규.

'탑'을 오르고 '게이트'를 닫으며 인생이 탄탄대로일 줄 알았는데...

튜토리얼을 아무리 클리어해도 레벨1.

1일 1고블린을 해도 레벨1.

5년이 지나도 레벨1.

""누가 알았겠냐고, 이런 플레이어가 있는지.""

그 누구도 몰랐다.

탑을 뒤흔들 레벨1의 역대급 반전 능력을!",카카오웹툰
5,5.0,5,//dn-img-page.kakao.com/download/resource?kid=imfCM/hzmU0W1V6o/0q5JUn4tQIXrhPV98ng4n0&filename=th1,8클래스 마법사의 회귀,"테스,류송",월,소년,,"황제 라그나르와 통일 제국을 위해 손에 피를 묻히길 수십 년.
나는 고향으로 돌아가 속죄하며 죽은 듯이 살고자 했다.

그러나,

“자네는 언제든지 나를, 나의 제국을 집어삼킬 수 있는 8클래스의 대마법사.”
“그런 괴물을 어찌 살려둘 수가 있겠나?”

친구이자 주군이었던 라그나르에게 배신당하고 죽음의 문턱을 넘기 직전,
시간 마법의 주문이 새겨진 단검을 심장에 찔러 넣었다.

‘내가 원했던 참회란, 모든 것을 되돌려놓는 것.’


인류 최초의 8클래스 마법사 이안 페이지.
그가 30년 전 과거로 돌아왔다.",카카오웹툰
6,6.0,6,//dn-img-page.kakao.com/download/resource?kid=cmN9OU/hzCtc2nIf4/dkuPvbWwMjMBXCBcby0760&filename=th1,뽑기로 강해진 SSS급 헌터,"개작가,윤석준,삼편잡가",월,소년,,"전 재산을 쏟아부어 헌터로 각성했는데…
전투형 스킬 하나 없는 소통, 인내, 게임 탤런트뿐이라고?
헌터 사무소 영업직 인생은 이제 그만 살고 싶다고...!

간절히 바라면 이루어지는가!
인생 최악의 날, 우주로부터 최강의 스킬을 얻었다!

클래스를 뒤집는 운빨 갓겜이 시작된다.
<뽑기로 강해진 SSS급 헌터>",카카오웹툰
7,7.0,7,//dn-img-page.kakao.com/download/resource?kid=fJhlQ/hzhOmjpFzJ/QqTh7BYmWBWkiRXoHLQ0wK&filename=th1,묵향 다크레이디,"이재헌,구깃,전동조",월,소년,,"마교의 교주로서 극강의 무공을 자랑하던 묵향은 적들(혈교)에 의해 생전 처음 보는 생소한 이세계(판타지 세계)로 떨어지게 된다. 그곳에서 엘프, 마법사, 기사, 드래곤 등 새로운 존재들과 만나며... 무림 최고수 묵향이 원래 자신의 세상(무림)으로 돌아가기 위해 긴 모험을 떠나게 된다는 스토리.

한국의 무협소설과 판타지 문학을 사랑하는 수많은 독자들이 기다려왔던 초대형 이벤트― 웹툰계를 뒤흔들 다시없을 프로젝트가 시작된다! 
1999년부터 시작된 전설, 누계부수 300만부... 무협소설과 판타지문학을 접목시킨 기념비적인 장르소설인 [묵향]이 드디어 만화화!! 

한국 무협판타지의 한 획을 그었던 전동조 작가의 메가히트 장르소설 [묵향]을 만화화! 만화의 내용은 원작의 2부격인 [다크레이디] 편에서부터 시작한다.",카카오웹툰
8,8.0,8,//dn-img-page.kakao.com/download/resource?kid=qqsec/hzp2nOQzLu/oTKNjkvrbu0Fp6sK9pIL10&filename=th1,그 악녀를 조심하세요!,"열매,푸른칸나,뽕따맛스크류바",월,로판,,"소설 속 희대의 악녀에 빙의했다! 싫냐고? 아니? 좋은데?
공작영애 = 돈 많은 백수인 것을 내가 마다할 리가! 꿀이나 빨면서 여유롭게 살기 딱 좋지 않은가? 원작같은 건 다 떨쳐버리고 나의 삶을 사는거야!

그렇게 다짐했던 내가 이 몸에 빙의한지 얼마 되지 않아 목격한 것은 나의 약혼남이자 원작의 남주인공인 '황태자 이안'의 불륜 현장이었다. 

내가 아닌 다른 여자를 품에 안고 시시덕거리는 그를 보며 나는 눈물……따윈 개뿔, 나오지도 않더라. 내 눈물은 비싸서 저런 쓰레기에게 흘리기엔 아깝거든. 눈물 대신 깊은 빡침을 담은 목소리로 물었다.

""전하는 개자식인가요?""

고구마밭에 떨어진 역대급 사이다 여주! 환장하는 원작을 뒤집어 엎기위한 걸크러쉬 그녀!
이유? 여주가 똥차같은 남주들에게 휘둘리기엔 너무 아까웠거든.

원작 여주에게 꼬이는 똥차들을 치우는 그녀와, 그녀만을 바라보는 늑댕이 한마리의 이야기!",카카오웹툰
9,9.0,9,//dn-img-page.kakao.com/download/resource?kid=6IPnH/hzhOmXFiUj/0V6UGF1R1EbSpgqSVkost0&filename=th1,사장님의 특별지시,"박한나,지나",월,로맨스,,"화장품업계 신흥강자 G 코스메틱 사장 최정우.
뛰어난 업무 처리 능력과 미모를 가진 그녀의 비서, 신수현.

어느 날, 난데없이 사장의 특별한 지시가 떨어졌다.
“신 비서, 나랑 결혼해줘.”

복사해줘, 자료 정리해줘, 일정 체크해줘, 처럼 여상하게 내려온 상사의 지시.

밤마다 사장에게 보내지 못한 사직레터를 새로 쓰고 또 쓰며 모으던
우리의 조신남 수현은 이제 사표를 낼 때가 되었다고 생각하지만…
이 결혼, 조건이 너무 끝내주잖아?!!

두 사람의 오피스&신혼살이 예측불허 연애담!",카카오웹툰
